Date,Province_Median_Price,Province_Average_Time,Montreal_Median_Price,Montreal_Average_Time
1/1/2014,210000,135,220000,124
2/1/2014,212000,128,225000,117
3/1/2014,210000,130,225000,118
4/1/2014,214000,120,225000,113
5/1/2014,215000,125,226287,115
6/1/2014,220000,129,234525,122
7/1/2014,223000,130,235000,128
8/1/2014,214000,139,230150,128
9/1/2014,220000,134,234000,121
10/1/2014,221000,136,249000,119
11/1/2014,218000,132,230750,120
12/1/2014,215000,134,235000,129
1/1/2015,214000,134,230485,129
2/1/2015,212000,139,230000,125
3/1/2015,218500,132,235000,120
4/1/2015,215000,130,231950,123
5/1/2015,224900,127,239000,122
6/1/2015,224500,142,240000,118
7/1/2015,225000,127,245000,119
8/1/2015,223950,150,240000,133
9/1/2015,230000,138,248000,130
10/1/2015,222250,140,240000,130
11/1/2015,224000,140,239000,134
12/1/2015,224000,143,240000,125
1/1/2016,215000,155,238000,136
2/1/2016,211000,128,226000,114
3/1/2016,215312,129,231600,115
4/1/2016,220000,130,235000,117
5/1/2016,222000,123,240000,114
6/1/2016,228000,143,245000,129
7/1/2016,226274,137,250000,117
8/1/2016,232000,130,250000,117
9/1/2016,230000,147,250000,134
10/1/2016,228964,134,245000,120
11/1/2016,231700,142,248000,126
12/1/2016,225000,137,245000,125
1/1/2017,220000,138,240000,121
2/1/2017,221000,131,238900,112
3/1/2017,225000,126,243232,115
4/1/2017,225000,122,240000,109
5/1/2017,228930,121,243000,107
6/1/2017,235100,123,257500,111
7/1/2017,234000,123,256000,110
8/1/2017,235000,118,251500,110
9/1/2017,231371,129,253000,112
10/1/2017,236000,119,255000,103
11/1/2017,232000,119,254510,105
12/1/2017,245000,122,265000,111
1/1/2018,225750,127,244750,116
2/1/2018,233000,112,250000,100
3/1/2018,226000,111,240000,97
4/1/2018,228000,107,245350,94
5/1/2018,238000,113,257000,97
6/1/2018,245000,105,256000,93
7/1/2018,238000,115,265000,98
8/1/2018,246000,103,265000,88
9/1/2018,245000,113,263000,98
10/1/2018,246000,103,265000,88
11/1/2018,243000,108,264900,94
12/1/2018,250000,110,272863,93
1/1/2019,230000,109,248271,95
2/1/2019,235000,105,250000,92
3/1/2019,229500,94,248000,78
4/1/2019,240000,96,260000,79
5/1/2019,239000,93,261000,77
6/1/2019,242780,91,261000,76
7/1/2019,250000,87,278600,71
8/1/2019,251584,94,279000,79
9/1/2019,262000,93,290000,76
10/1/2019,255000,84,280000,69
11/1/2019,269000,84,290000,70
12/1/2019,255000,92,285000,76
1/1/2020,246250,97,275000,74
2/1/2020,250000,77,275000,61
3/1/2020,253000,70,287000,52
4/1/2020,185000,149,289900,53
5/1/2020,243750,90,280000,64
6/1/2020,269999,68,305000,49
7/1/2020,278000,62,312000,41
8/1/2020,283000,59,312000,41
9/1/2020,286000,66,318000,45
10/1/2020,290000,58,323500,42
11/1/2020,287500,60,316000,44
12/1/2020,290000,60,325000,40
1/1/2021,290000,67,322000,53
2/1/2021,300000,60,340000,48
3/1/2021,315000,54,347065,44
4/1/2021,330000,53,357750,42
5/1/2021,339000,49,365000,41
